epoch,acc,loss,val_acc,val_loss
0,0.8934166666666666,0.3736621485352516,0.90575,0.32956124100089074
1,0.9049375,0.33265757557253045,0.9140833333333334,0.29983890663584073
2,0.9145416666666667,0.3012250494038065,0.9210833333333334,0.2762228906055291
3,0.9221458333333333,0.2728297524228692,0.931,0.24511854202051958
4,0.929375,0.24642621221393346,0.9348333333333333,0.22875501630206904
5,0.93575,0.22290923597415288,0.9430833333333334,0.20615840864181517
6,0.94275,0.20279649752005935,0.9443333333333334,0.19895575379083555
7,0.94625,0.18517487904926141,0.9494166666666667,0.18126510683695476
8,0.9521875,0.17060393256383638,0.9516666666666667,0.1672243377690514
9,0.9549583333333334,0.1574354272906979,0.9565833333333333,0.15739489305267731
10,0.9580625,0.1463962035458535,0.9563333333333334,0.14946195799609024
11,0.9610833333333333,0.13621931813036403,0.9603333333333334,0.14119786202162504
12,0.9636458333333333,0.1269202839123706,0.9619166666666666,0.13628076842799783
13,0.9656458333333333,0.11829641538734237,0.9625,0.13040455619742472
14,0.9688958333333333,0.11071417588399102,0.96525,0.12336276458079616
15,0.9707708333333334,0.10431183616258204,0.9663333333333334,0.11866653326029579
16,0.9731458333333334,0.09718435990065336,0.9669166666666666,0.11605036255406836
